label,id,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,time_interval,same_id_time_interval
BENIGN,2017,2,1,73,85,85,85,85,85,0.009951999999999961,0.009951999999999961
BENIGN,2016,0,65,73,168,0,-1,-1,-1,0.0009750000000000592,0.0009750000000000592
BENIGN,2021,2,1,246,85,85,85,85,85,0.003025999999999973,0.003025999999999973
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0020700000000000163,0.0020700000000000163
BENIGN,2019,2,1,13,85,85,85,85,85,0.00793200000000005,0.00793200000000005
BENIGN,2018,0,65,13,168,-1,-1,-1,-1,0.0019279999999999298,0.0019279999999999298
BENIGN,2017,2,1,73,85,85,85,85,85,0.010070000000000023,0.010070000000000023
BENIGN,2016,0,65,73,167,0,-1,-1,-1,0.001947000000000032,0.001947000000000032
BENIGN,2021,2,1,246,85,85,85,85,85,0.0020249999999999435,0.0020249999999999435
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019219999999999793,0.0019219999999999793
BENIGN,2025,2,1,244,85,85,85,85,85,0.0071950000000000625,0.0071950000000000625
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.0019839999999999858,0.0019839999999999858
BENIGN,2017,2,1,73,85,85,85,85,85,0.010938000000000003,0.010938000000000003
BENIGN,2016,0,65,73,166,0,-1,-1,-1,0.0010649999999999826,0.0010649999999999826
BENIGN,2021,2,1,246,85,85,85,85,85,0.0030000000000000027,0.0030000000000000027
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.00195500000000004,0.00195500000000004
BENIGN,2023,2,1,245,85,85,85,85,85,0.005921999999999983,0.005921999999999983
BENIGN,2022,0,65,245,0,-1,-1,-1,-1,0.0009550000000000392,0.0009550000000000392
BENIGN,2017,2,1,73,85,85,85,85,85,0.013036999999999965,0.013036999999999965
BENIGN,2016,0,65,73,164,0,-1,-1,-1,0.001966999999999941,0.001966999999999941
BENIGN,2021,2,1,246,85,85,85,85,85,0.0021400000000000308,0.0021400000000000308
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019449999999999745,0.0019449999999999745
BENIGN,2019,2,1,17,85,85,85,85,85,0.005055000000000032,0.005055000000000032
BENIGN,2018,0,65,17,163,-1,-1,-1,-1,0.0009310000000000151,0.0009310000000000151
BENIGN,2017,2,1,73,85,85,85,85,85,0.014051000000000036,0.014051000000000036
BENIGN,2016,0,65,73,163,0,-1,-1,-1,0.0010399999999999299,0.0010399999999999299
BENIGN,2021,2,1,246,85,85,85,85,85,0.002970000000000028,0.002970000000000028
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0018160000000000398,0.0018160000000000398
BENIGN,2019,2,1,13,85,85,85,85,85,0.00506899999999999,0.00506899999999999
BENIGN,2018,0,65,13,163,-1,-1,-1,-1,0.0009659999999999114,0.0009659999999999114
BENIGN,2017,2,1,73,85,85,85,85,85,0.014212000000000002,0.014212000000000002
BENIGN,2016,0,65,73,161,0,-1,-1,-1,0.0018800000000001038,0.0018800000000001038
BENIGN,2021,2,1,246,85,85,85,85,85,0.0020579999999998932,0.0020579999999998932
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0018620000000000303,0.0018620000000000303
BENIGN,2025,2,1,244,85,85,85,85,85,0.00411499999999998,0.00411499999999998
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.0030000000000000027,0.0030000000000000027
BENIGN,2017,2,1,73,85,85,85,85,85,0.012880000000000003,0.012880000000000003
BENIGN,2016,0,65,73,160,0,-1,-1,-1,0.0010060000000000624,0.0010060000000000624
BENIGN,2021,2,1,246,85,85,85,85,85,0.0029839999999999867,0.0029839999999999867
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019460000000000033,0.0019460000000000033
BENIGN,2023,2,1,245,85,85,85,85,85,0.003066000000000013,0.003066000000000013
BENIGN,2022,0,65,245,0,-1,-1,-1,-1,0.001910999999999996,0.001910999999999996
